"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "TypeScript", "Swift", "HTML", "JavaScript", "PostCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\lib\classes\temp_current_shop\temp_current_shop.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\temp_customers_class.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 19, 109
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\temp_customers_class.g.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 4, 8, 81
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\created_customers\created_customers.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\created_customers\created_customers.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\deleted_customers\deleted_customers.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\deleted_customers\deleted_customers.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\updated\updated_customers.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\updated\updated_customers.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers_class.dart", "Dart", 0, 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, -4, -65
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\department_class.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\department_class.g.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 8, 57
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\created_departments\created_departments.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\created_departments\created_departments.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\deleted_departments\deleted_departments.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\deleted_departments\deleted_departments.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\updated\updated_departments.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_departments_class\unsynced\updated\updated_departments.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_employee_class.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"c:\MAIN FLUTTER\stockall\lib\classes\temp_event_log\temp_event_log_class.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"c:\MAIN FLUTTER\stockall\lib\classes\temp_event_log\temp_event_log_class.g.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 8, 69
"c:\MAIN FLUTTER\stockall\lib\classes\temp_event_log\unsynced\created_events_log_class.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_event_log\unsynced\created_events_log_class.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\temp_expenses_class.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 20, 121
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\temp_expenses_class.g.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 8, 84
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\created_expenses\created_expenses.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\created_expenses\created_expenses.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\deleted_expenses\deleted_expenses.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\deleted_expenses\deleted_expenses.g.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\updated\updated_expenses.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses\unsynced\updated\updated_expenses.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_expenses_class.dart", "Dart", 0, 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, -4, -70
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\temp_invoices.dart", "Dart", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 11, 26, 152
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\temp_invoices.g.dart", "Dart", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 4, 8, 96
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\created_invoices\created_invoices.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\created_invoices\created_invoices.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\deleted_invoices\deleted_invoices.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\deleted_invoices\deleted_invoices.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\updated\updated_invoices.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_invoices\unsynced\updated\updated_invoices.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_logged_in_user\logged_in_user.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_logged_in_user\logged_in_user.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_cart.dart", "Dart", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -4, -16
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt.dart", "Dart", 0, 0, 0, 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, -4, -74
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\temp_main_receipt.dart", "Dart", 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 1, 27, 157
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\temp_main_receipt.g.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 4, 8, 105
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\created_receipts\created_receipts.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\created_receipts\created_receipts.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\deleted_customers\deleted_receipts.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\deleted_customers\deleted_receipts.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\updated\updated_receipts.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\MAIN FLUTTER\stockall\lib\classes\temp_main_receipt\unsynced\updated\updated_receipts.g.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_notification.dart", "Dart", 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, 0, -3, -52
"c:\MAIN FLUTTER\stockall\lib\classes\temp_notification\temp_notification.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 5, 21, 118
"c:\MAIN FLUTTER\stockall\lib\classes\temp_notification\temp_notification.g.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 4, 8, 84
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class.dart", "Dart", 0, 0, 0, 0, -129, 0, 0, 0, 0, 0, 0, 0, 0, -5, -134
"c:\MAIN FLUTTER\stockall\lib\classes\temp_product_class\temp_product_class.dart", "Dart", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 32, 208
