"filename", "language", "C++", "CMake", "JSON", "YAML", "Swift", "Dart", "Markdown", "TypeScript", "XML", "HTML", "Shell Script", "JavaScript", "GLSL", "PostCSS", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"c:\MAIN FLUTTER\stockall\lib\classes\currency_class\currency_class.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\MAIN FLUTTER\stockall\lib\classes\product_quantity_summary\product_quantity_summary.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\MAIN FLUTTER\stockall\lib\classes\product_report_summary\product_report_summary.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\MAIN FLUTTER\stockall\lib\classes\product_suggestions\product_suggestion.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 11, 60
"c:\MAIN FLUTTER\stockall\lib\classes\product_summary\product_summary_class.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\MAIN FLUTTER\stockall\lib\classes\refunded_records\refunded_records.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\MAIN FLUTTER\stockall\lib\classes\subplan_class.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\MAIN FLUTTER\stockall\lib\classes\subscription\subscription_class.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\MAIN FLUTTER\stockall\lib\classes\subscription\subscription_class.g.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 60
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\barcode_printer_local.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\barcode_printer_local.g.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 45
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\printer_settings\printer_settings.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\printer_settings\printer_settings.g.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 63
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class\temp_barcode_printer_class.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\MAIN FLUTTER\stockall\lib\classes\temp_barcode_printer_class\temp_barcode_printer_class\temp_barcode_printer_class.g.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 46
"c:\MAIN FLUTTER\stockall\lib\classes\temp_cart\temp_cart.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 38
"c:\MAIN FLUTTER\stockall\lib\classes\temp_cart_items\temp_cart_item.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 98
"c:\MAIN FLUTTER\stockall\lib\classes\temp_current_shop\temp_current_shop.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\MAIN FLUTTER\stockall\lib\classes\temp_current_shop\temp_current_shop.g.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 42
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\temp_customers_class.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 109
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\temp_customers_class.g.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 81
"c:\MAIN FLUTTER\stockall\lib\classes\temp_customers\unsynced\created_customers\created_customers.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
