Date : 2026-02-25 17:55:38
Directory : c:\MAIN FLUTTER\stockall
Total : 501 files,  176323 codes, 7788 comments, 3665 blanks, all 187776 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| lib\pages\report\sales_and_revenue\platforms                                                                                        |          2 |      1,713 |         29 |         37 |      1,779 |
| lib\pages\restricted_page                                                                                                           |          1 |        548 |         10 |          6 |        564 |
| lib\pages\sales                                                                                                                     |         16 |      8,131 |        906 |        140 |      9,177 |
| lib\pages\sales\make_sales                                                                                                          |         10 |      6,669 |        841 |        108 |      7,618 |
| lib\pages\sales\make_sales\page1                                                                                                    |          3 |      2,883 |        442 |         41 |      3,366 |
| lib\pages\sales\make_sales\page1 (Files)                                                                                            |          1 |          5 |          6 |          1 |         12 |
| lib\pages\sales\make_sales\page1\platforms                                                                                          |          2 |      2,878 |        436 |         40 |      3,354 |
| lib\pages\sales\make_sales\page2                                                                                                    |          3 |      1,367 |        145 |         19 |      1,531 |
| lib\pages\sales\make_sales\page2 (Files)                                                                                            |          1 |          9 |          0 |          0 |          9 |
| lib\pages\sales\make_sales\page2\platforms                                                                                          |          2 |      1,358 |        145 |         19 |      1,522 |
| lib\pages\sales\make_sales\receipt_page                                                                                             |          4 |      2,419 |        254 |         48 |      2,721 |
| lib\pages\sales\make_sales\receipt_page (Files)                                                                                     |          2 |         58 |          0 |          6 |         64 |
| lib\pages\sales\make_sales\receipt_page\platforms                                                                                   |          2 |      2,361 |        254 |         42 |      2,657 |
| lib\pages\sales\sales_page                                                                                                          |          3 |        561 |         33 |         14 |        608 |
| lib\pages\sales\sales_page (Files)                                                                                                  |          1 |        -22 |         -2 |         -1 |        -25 |
| lib\pages\sales\sales_page\platforms                                                                                                |          2 |        583 |         35 |         15 |        633 |
| lib\pages\sales\total_sales                                                                                                         |          3 |        901 |         32 |         18 |        951 |
| lib\pages\sales\total_sales (Files)                                                                                                 |          1 |          2 |          4 |          0 |          6 |
| lib\pages\sales\total_sales\platforms                                                                                               |          2 |        899 |         28 |         18 |        945 |
| lib\pages\settings                                                                                                                  |          3 |      1,866 |      1,271 |         15 |      3,152 |
| lib\pages\settings (Files)                                                                                                          |          1 |        199 |          6 |          4 |        209 |
| lib\pages\settings\platforms                                                                                                        |          2 |      1,667 |      1,265 |         11 |      2,943 |
| lib\pages\shop_setup                                                                                                                |         23 |     10,456 |        133 |        180 |     10,769 |
| lib\pages\shop_setup (Files)                                                                                                        |          2 |     -3,739 |        -18 |        -74 |     -3,831 |
| lib\pages\shop_setup\banner_screen                                                                                                  |          6 |      1,184 |          4 |         29 |      1,217 |
| lib\pages\shop_setup\banner_screen (Files)                                                                                          |          1 |       -243 |          0 |          0 |       -243 |
| lib\pages\shop_setup\banner_screen\copy_staff_id                                                                                    |          3 |        590 |          4 |         19 |        613 |
| lib\pages\shop_setup\banner_screen\platforms                                                                                        |          2 |        837 |          0 |         10 |        847 |
| lib\pages\shop_setup\create_category                                                                                                |          3 |        156 |         11 |          9 |        176 |
| lib\pages\shop_setup\create_category (Files)                                                                                        |          1 |       -127 |         -2 |         -3 |       -132 |
| lib\pages\shop_setup\create_category\platforms                                                                                      |          2 |        283 |         13 |         12 |        308 |
| lib\pages\shop_setup\edit_receipt_page                                                                                              |          3 |      3,148 |         56 |         45 |      3,249 |
